ko	không
kg	không
k	không
hok	không
hông	không
hnay	hôm nay
hn	hôm nay
nc	nói chuyện
mn	mọi người
ntn	như thế nào
ng	người
bt	bình thường
đc	được
muh	mà
moh	mà
mah	mà
ik	đi
jh	đi
jk	đi
roài	rồi
ròy	rồi
rùi	rồi
goy	rồi
h	giờ
jờ	giờ
zữ	dữ
dzữ	dữ
thoy	thôi
hoy	thôi
thoai	thôi
oy	ơi
bik	biết
bít	biết
pit	biết
pik	biết
choy	trời
chài	trời
troy	trời
mềnh	mình
bi h	bây giờ
m	em
e	em
n	anh
a	anh
aj	ai
bj	bi
đj	đi
kj	ki
lj	li
mj	mi
nj	ni
ôj	ôi
ơj	ơi
sj	si
tj	ti
vj	vi
xj	xi
áj	ái
ảj	ải
ój	ói
ỏj	ỏi
ốj	ối
ổj	ổi
ơj	ơi
uj	ui
iu	yêu
<3	yêu
ns	nói
gj	gì
sjêu	siêu
tjêu	tiêu
chjêu	chiêu
trjêu	triệu
phjêu	phiêu
thjêu	thiệu
khjêu	khiêu
nhjêu	nhiêu
kjêm	kiêm
djêm	diêm
hjêm	hiểm
ljêm	liêm
njêm	niêm
tjêm	tiêm
vjêm	viêm
nghjêm	nghiêm
bjên	biên
kjên	kiên
djên	diện
hjên	hiên
ljên	liên
mjên	miên
njên	niên
sjêng	siêng
tjên	tiên
tjến	tiến
tjển	tiển
tjền	tiền
vjên	viên
vjện	viện
vjễn	viễn
xjên	xiên
chjên	chiên
chjến	chiến
phjên	phiên
thjên	thiên
nghjêng	nghiêng
nhjên	nhiên
bjết	biết
kjệt	kiệt
djệt	diệt
gjết	giết
rjết	riết
ljệt	liệt
mjệt	miệt
sjết	siết
tjết	tiết
vjết	viết
xjết	xiết
trjết	triết
phjệt	phiệt
thjệt	thiệt
khjết	khiết
nghjệt	nghiệt
nhjệt	nhiệt
nhjệm	nhiệm
bjểu	biểu
bjếu	biếu
kjêu	kiêu
khjếu	khiếu
hjếu	hiếu
hjểu	hiểu
mjêu	miêu
sjêu	siêu
tjêu	tiêu
chjêu	chiêu
trjệu	triệu
phjêu	phiêu
phjếu	phiếu
thjêu	thiêu
thjếu	thiếu
nhjêu	nhiêu
nhjều	nhiều
tjệc	tiệc
tjết	tiết
thjch	thích
iu	yêu
aj	ai
ljeu	liệu
bàj	bài
baj	bài
caj	cái
dàj	dài
dạj	dại
giaj	giai
haj	hai
hàj	hài
lạj	lại
maj	mai
máj	mái
mảj	mải
naj	nai
saj	sai
taj	tai
tảj	tải
vaj	vai
vảj	vải
xàj	xài
chaj	chai
chảj	chải
chàj	chài
traj	trai
trảj	trải
tráj	trái
trạj	trại
phảj	phải
pháj	phái
thaj	thai
thảj	thải
tháj	thái
khaj	khai
khảj	khải
ngaj	ngai
ngảj	ngải
ngàj	ngài
ngạj	ngại
nhaj	nhai
bụj	bụi
cuôj	cuối
dúj	dúi
luj	lui
muj	mui
tuj	tôi
vuj	vui
xuj	xui
chuj	chui
phủj	phủi
bơj	bơi
bôj	bôi
bờj	bời
bộj	bội
bồj	bồi
bốj	bối
còj	còi
côj	côi
cốj	cối
cộj	cội
cởj	cởi
dờj	dời
dơj	dơi
dôj	dôi
độj	đội
đờj	đời
đớj	đới
đợj	đợi
giỏj	giỏi
giờj	giời
giớj	giới
rồj	rồi
rờj	rời
rốj	rối
rỗj	rỗi
gọj	gọi
gój	gói
gốj	gối
gởj	gởi
hỏj	hỏi
hój	hói
hốj	hối
hởj	hởi
hờj	hời
lốj	lối
lờj	lời
lợj	lợi
lỗj	lỗi
lộj	lội
mớj	mới
mỗj	mỗi
mờj	mời
mốj	mối
mồj	mồi
noj	noi
nốj	nối
nộj	nội
nój	nói
nơj	nơi
soj	soi
sój	sói
sỏj	sỏi
tôj	tôi
tỏj	tỏi
tớj	tới
tộj	tội
tốj	tối
voj	voi
vớj	với
voj	voi
vờj	vời
vòj	vòi
vộj	vội
xôj	xôi
xớj	xới
xơj	xơi
chọj	chọi
chój	chói
chơj	chơi
chốj	chối
trôj	trôi
trờj	trời
trốj	trối
trộj	trội
phơj	phơi
phốj	phối
phổj	phổi
thoj	thoi
thôj	thôi
thơj	thơi
thờj	thời
thổj	thổi
khỏj	khỏi
khốj	khối
khôj	khôi
khởj	khởi
ngoj	ngoi
ngồj	ngồi
ngôj	ngôi
nguj	nguy
nhój	nhói
nhồj	nhồi
nhốj	nhối
siu	siêu
tiu	tiêu
chiu	chiêu
triu	triệu
phiu	phiêu
thiu	thiệu
khiu	khiêu
nhiu	nhiêu
kim	kiêm
dim	diêm
him	hiểm
lim	liêm
nim	niêm
tim	tiêm
vim	viêm
nghim	nghiêm
bin	biên
kin	kiên
din	diện
hin	hiên
lin	liên
min	miên
nin	niên
sing	siêng
tin	tiên
tín	tiến
tỉn	tiển
tìn	tiền
vin	viên
vịn	viện
vĩn	viễn
xin	xiên
chin	chiên
chín	chiến
phin	phiên
thin	thiên
nghing	nghiêng
nhin	nhiên
bit	biết
kit	kiệt
dit	diệt
git	giết
rit	riết
lit	liệt
mit	miệt
sit	siết
tit	tiết
vit	viết
xit	xiết
trít	triết
phịt	phiệt
thịt	thiệt
khít	khiết
nghịt	nghiệt
nhịt	nhiệt
nhịm	nhiệm
bỉu	biểu
bíu	biếu
kiu	kiêu
híu	hiếu
hỉu	hiểu
miu	miêu
siu	siêu
tiu	tiêu
chiu	chiêu
triu	triệu
phiu	phiêu
phíu	phiếu
thiu	thiêu
thíu	thiếu
nhiu	nhiêu
nhìu	nhiều
tịc	tiệc
tít	tiết
hỉu	hiểu
ghia	ghê
bia	bay
bìa	bầy
bỉa	bẩy
bĩa	bảy
cia	cay
ciâ	cây
đia	đay
đìa	đầy
giìa	giày
giià	giầy
giiả	giảy
hia	hay
lia	lay
lía	lấy
lìa	lầy
lịa	lạy
mia	may
mía	mấy
nia	nay
nìa	này
quia	quay
quỉa	quẩy
quìa	quầy
quía	quấy
sia	say
sỉa	sảy
sía	sấy
tia	tay
via	vay
viâ	vây
vía	vấy
xia	xay
xiâ	xây
chịa	chạy
thia	thay
thía	thấy
thìa	thầy
ngia	ngay
ngiâ	ngây
nhịa	nhạy
wa	qua
wá	quá
wả	quả
wà	quà
wăng	quăng
wẳng	quẳng
wân	quân
wần	quần
wận	quận
wy	quy
wỳ	quỳ
wý	quý
wỷ	quỷ
wê	quê
wên	quên
wen	quen
jương	giương
jường	giường
jai	giai
jải	giải
jàu	giàu
jấu	giấu
jữa	giữa
jới	giới
jây	giây
jấy	giấy
jầy	giầy
ja	gia
já	giá
jả	giả
jà	già
jang	giăng
jong	giọng
jan	gian
jống	giống
jó	gió
jáng	giáng
jac	giác
jết	giết
jao	giao
júp	giúp
jờ	giờ
jải	giải
júp	giúp
ju	giữ
jì	gì
jờ	giờ
mún	muốn
từn	tuần
chủn	chuẩn
lun	luôn
nui	nuôi
chụn	chuộng
bun	buôn
bùn	buồn
ngui	nguôi
khun	khuôn
bun	buông
xui	xuôi
qan	quan
qa	qua
qunh	quanh
qanh	quanh
qay	quay
qang	quang
thu	thua
chiện	chuyện
triện	truyện
hịn	huyện
liện	luyện
liến	luyến
nhiễn	nhuyễn
kon	con
kòn	còn
kột	cột
kối	cối
koi	coi
ko	co
fiền	phiền
fiên	phiên
fương	phương
fường	phường
fai	phai
fải	phải
fái	phái
fẩu	phẩu
fôi	phôi
fổi	phổi
fối	phối
fơi	phơi
fới	phới
fở	phở
fẩy	phẩy
fa	pha
fá	phá
fà	phà
fả	phả
făng	phăng
fi	phi
fỉ	phỉ
fu	phu
fủ	phủ
fe	phe
fê	phê
fó	phó
fô	phô
fố	phố
fở	phở
fận	phận
fẩm	phẩm
fủ	phủ
fóng	phóng
fạm	phạm
fát	phát
fải	phải
fá	phá
fụ	phụ
fủ	phủ
fù	phù
fục	phục
fáp	pháp
fân	phân
fỏng	phỏng
fàn	phàn
fạm	phạm
fép	phép
fản	phản
fù	phù
fong	phong
fán	phán
fía	phía
fần	phần
fải	phải
fản	phản
fúc	phúc
fim	phim
fù	phù
fòng	phòng
fế	phế
dza	da
dzạ	dạ
dzậy	dậy
dze	dể
dzế	dế
dzì	dì
dzìm	dìm
dzị	dị
dzo	do
dzốc	dốc
dzỗ	dỗ
đzủ	đủ
dzữ	dữ
dzự	dự
dziện	diện
dzương	dương
dzai	dai
dzải	dải
dzẩu	dẩu
dzưa	dưa
dzâu	dâu
dzịu	dịu
dzây	dây
dzậy	dậy
dzọa	dọa
dzao	dao
lượg	lượng
trog	trong
đồg	đồng
gười	người
trạg	trạng
đag	đang
thườg	thường
phog	phong
lượg	lượng
từg	từng
thươg	thương
thườg	thường
nghiêp	nghiệp
nghiep	nghiệp
ghiệp	nghiệp
dụg	dụng
xứg	xứng
đág	đáng
độg	động
tượg	tượng
lắg	lắng
tiếg	tiếng
lòg	lòng
phóg	phóng
ứg	ứng
uốg	uống
thằg	thằng
trọg	trọng
phòg	phòng
cũg	cũng
trạg	trạng
đag	đang
thôg	thông
năg	năng
khủg	khủng
hoảg	hoảng
trôg	trông
vượg	vượng
năg	năng
ság	sáng
tươg	tương
riêg	riêng
xug	xung
đồg	đồng
dàg	dàng
khăg	khăng
mỏg	mỏng
cườg	cường
đág	đáng
hứg	hứng
trưg	trưng
tùg	tùng
xứg	xứng
loag	loang
côg	công
trug	trung
chug	chung
lag	lang
thag	thang
gon	ngon
đắg	đắng
dùg	dùng
nồg	nồng
mog	mong
chóg	chóng
dụg	dụng
sàg	sàng
cưỡg	cưỡng
hưởg	hưởng
thiêg	thiêng
liêg	liêng
khág	kháng
ứg	ứng
ug	ung
vữg	vững
khág	kháng
trưg	trưng
cứg	cứng
dụg	dụng
hướg	hướng
năg	năng
tăg	tăng
bằg	bằng
hồg	hồng
gầu	ngầu
vàg	vàng
hạg	hạng
lòg	lòng
xuốg	xuống
phỏg	phỏng
đọg	đọng
băg	băng
sưg	sưng
tươg	tương
quág	quáng
goan	ngoan
côg	công
nôg	nông
trog	trong
thẳg	thẳng
lươg	lương
trắg	trắng
hùg	hùng
căg	căng
thog	thong
trùg	trùng
nhõg	nhõng
rug	rung
loạg	loạng
đựg	đựng
ngưỡg	ngưỡng
chốg	chống
phóg	phóng
hứg	hứng
cũg	cũng
mag	mang
rùg	rùng
ủg	ủng
tăg	tăng
đừg	đừng
chẳg	chẳng
thượg	thượng
tầg	tầng
ôg	ông
hùg	hùng
khủg	khủng
choág	choáng
thăg	thăng
vọg	vọng
chuộg	chuộng
ràg	ràng
lặg	lặng
vug	vung
